LRID	Ligand_geneid	Ligand_Uniprot	ligand_symbol	Receptor_geneid	Receptor_Uniprot	Receptor_symbol	PMID	Database
LRH2662	3240	P00738	HP	3689	P05107	ITGB2	11967116;8786317	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH0065	3146	P09429	HMGB1	6382	P18827	SDC1	1369684	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH1021	3146	P09429	HMGB1	177	Q15109	AGER	20192808;9812979;25014009;32296583;19727205	CellTalkDB;Cellinker;OmniPath
LRH2054	3146	P09429	HMGB1	9332	Q86VB7	CD163	28464519	CellTalkDB;OmniPath
LRH2155	3146	P09429	HMGB1	54106	Q9NR96	TLR9	24267232;17417641	CellTalkDB;OmniPath
LRH2222	3146	P09429	HMGB1	7852	P61073	CXCR4	23519706;22370717	CellTalkDB;Cellinker;OmniPath
LRH2308	3146	P09429	HMGB1	7099	O00206	TLR4	16267105;20547845;23519706;20348922	CellTalkDB;Cellinker;SingleCellSignalR;OmniPath
LRH2311	3146	P09429	HMGB1	7097	O60603	TLR2	20192808;23519706;16267105	CellTalkDB;Cellinker;OmniPath
LRH2478	3146	P09429	HMGB1	7056	P07204	THBD	15841214	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH4192	3146	P09429	HMGB1	84868	Q8TDQ0	HAVCR2	22842346;27192565;23519706	Cellinker;ICELLNET;connectomeDB2020;OmniPath
LRH0941	3135	P17693	HLA-G	3821	P26715	KLRC1	9295021;9560253	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH1768	3135	P17693	HLA-G	920	P01730	CD4	32196115	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRH2264	3135	P17693	HLA-G	3811	P43629	KIR3DL1	21115737;21746965	CellTalkDB;OmniPath
LRH2858	3135	P17693	HLA-G	3805	Q99706	KIR2DL4	17056715;10190900;16487070;15580655;11955593;26973020	CellTalkDB;Cellinker;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
